continent,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,median_age,gdp_per_capita,population,month,year
Asia,2020-09-30,9170382.4,3730331.0,167900.06666666668,52026.0,0.0,0.0,0.0,0.0,0.0,58.44809629629629,571.1878723404255,30.49591836734694,22795.650608695654,4720760210.0,9,2020
Asia,2020-10-31,12779641.193548387,3296174.0,219817.19354838712,49041.0,0.0,0.0,0.0,0.0,0.0,56.161749103942654,571.1878723404255,30.49591836734694,22795.650608695654,4720760210.0,10,2020
Asia,2020-11-30,15866912.533333333,3197480.0,267274.09425287356,49116.0,0.0,0.0,0.0,0.0,0.0,54.84345925925926,571.1878723404255,30.49591836734694,22795.650608695654,4720760210.0,11,2020
Asia,2020-12-31,19270582.0,3173712.0,316443.41935483867,46174.0,3400184.6645299145,397647.702991453,45.96153846153846,0.0,1016756.0,58.48454480286739,571.1878723404255,30.49591836734694,22795.650608695654,4720760210.0,12,2020
Asia,2021-01-31,21926941.129032258,2419261.0,356272.67741935485,35773.0,24577714.461479194,5198786.8706240915,866178.2320788531,0.0,12815866.0,60.21563440860215,571.1878723404255,30.49591836734694,22795.650608695654,4720760210.0,1,2021
Asia,2021-02-28,24060485.357142854,1906682.0,387046.6785714285,25154.0,72295493.85453297,25517933.688173346,7581787.3076330535,2.0,27243228.0,57.20151397515529,987.3457500000001,30.67,24541.739978723403,4721455390.0,2,2021
Asia,2021-03-31,26466216.064516127,3376607.0,413048.96612903225,30911.0,185527178.2514688,63227346.77656115,17526459.33620761,2.967741935483871,118455185.0,57.60559607293128,987.3457500000001,30.67,24541.739978723406,4721455390.0,3,2021
Asia,2021-04-30,32976186.233333334,10688448.0,465583.6533333333,89228.0,396200276.70400625,157542558.68179953,45452725.27459882,5.941025641025641,263636691.0,61.18647101449275,987.34575,30.67,24541.739978723406,4721455390.0,4,2021
Asia,2021-05-31,46070212.64516129,12063068.0,606289.6348973607,167389.0,765640553.9382585,228373162.78503639,84840472.0209909,10.612903225806452,507317243.0,64.45793127629734,987.3457500000001,30.67,24541.739978723406,4721455390.0,5,2021
Asia,2021-06-30,53698575.06666666,4635746.0,748388.1666666667,107352.0,1478853835.1785028,1008217730.1793176,127027217.8442012,298883.3,827447522.0,62.059347826086956,987.34575,30.67,24541.739978723406,4721455390.0,6,2021
Asia,2021-07-31,58621089.548387095,6130656.0,841921.5806451613,104737.0,2283795777.0157495,609146827.1543971,220095152.17923415,5143784.70967742,703132431.0,59.43576437587658,987.3457500000001,30.67,24541.739978723406,4721455390.0,7,2021
Asia,2021-08-31,66073612.38709677,8059616.0,971047.5161290322,138855.0,3135468456.0502305,1940804929.3076081,1206915028.7538195,8774154.06733593,776218315.0,59.478688639551194,987.3457500000001,30.67,24541.739978723406,4721455390.0,8,2021
Asia,2021-09-30,73224976.43333334,5857348.0,1088041.6333333333,88525.0,3918163486.179635,2275719484.360841,1585918673.8873546,16831902.488732595,615320545.0,55.31202898550725,987.34575,30.67,24541.739978723406,4721455390.0,9,2021
Asia,2021-10-31,77826721.80645162,3729038.0,1151302.4193548388,49407.0,4508417563.936794,1452456423.1458504,1875104035.826833,22247416.01135969,432515040.0,52.42579242636746,987.3457500000001,30.67,24541.739978723406,4721455390.0,10,2021
Asia,2021-11-30,81006297.13333333,2792713.0,1197221.9,42738.0,5121719334.583677,2864687799.418006,2098395451.481173,81657458.79253785,570771283.0,48.22683333333333,987.34575,30.67,24541.739978723406,4721455390.0,11,2021
